true,pred
12.447066,12.485649
11.874392,11.87402
10.68606,10.212415
10.645177,10.239986
8.6824255,8.8670635
8.852344,9.166979
10.002414,9.679654
13.589151,13.613558
11.661073,11.374135
10.653738,10.144131
10.31089,9.875488
8.588051,9.123822
9.529727,9.92394
11.724402,11.507451
12.831539,12.707527
9.522802,9.911717
10.270385,9.961736
10.967553,10.528274
9.809614,8.995746
13.052373,13.017087
12.53539,12.583537
11.403754,11.210355
9.550221,9.857174
12.155982,12.059217
13.513034,13.550783
9.4045315,9.435998
11.634431,11.527526
12.600576,12.525384
13.452399,13.464709
12.645919,12.487868
12.284876,12.264483
11.010783,10.901526
12.030287,12.095088
11.5891905,11.480917
7.84419,8.07135
10.489484,10.460819
10.2869215,10.00081
8.268928,8.034837
9.982592,10.53482
9.209189,8.434395
11.886757,11.80375
13.376689,13.4711
12.702424,12.956867
10.848429,10.798772
12.453428,12.587082
11.07886,11.352754
7.6994476,7.868827
13.069274,12.854365
10.932479,10.366811
10.130442,9.820524
12.014432,12.027993
12.318849,12.284938
6.7511683,7.0738616
7.6981626,7.9994764
10.657529,10.241178
13.3129,13.584522
10.807894,10.320223
8.623201,9.023929
11.437672,11.208173
12.469141,12.561403
10.685567,10.878803
7.229542,7.5552535
13.86257,13.848229
9.235135,9.678775
14.111101,14.185552
9.144787,9.467459
11.731685,11.7074585
9.856259,9.635928
9.083742,9.490062
13.167619,13.037691
9.833276,10.518053
11.519833,11.579151
11.142589,11.124728
11.369394,11.451738
10.819805,10.413338
12.362162,12.511281
9.241285,9.624662
11.808854,11.84944
11.054461,10.912403
13.871369,13.533579
8.988026,9.33413
10.017419,9.602792
11.298159,11.359952
11.469825,10.877468
7.9520593,8.327582
13.93435,13.883573
13.630291,13.697123
12.471547,12.50794
13.002716,13.018818
10.609416,10.488745
11.503282,11.638575
11.921439,11.883291
12.649296,12.588437
12.377529,12.3310995
9.45374,10.193043
13.605576,13.745524
11.672265,11.341578
11.641297,11.614612
9.273503,9.352218
11.323186,11.312886
11.89632,11.836158
11.394843,10.8162775
10.923741,10.671406
12.773018,12.729778
9.9134445,9.417085
7.111398,7.4595256
11.827548,11.459511
11.915166,12.15542
9.154193,8.384713
11.113319,10.917694
11.435113,10.801964
10.896917,10.42826
13.197852,13.275851
9.264594,9.719265
12.787125,12.533
11.804249,10.203259
7.9433503,8.162258
13.735993,13.797655
12.886676,13.115386
11.603334,11.596881
14.082221,14.051269
11.067667,10.821732
9.524221,9.817728
11.596848,11.595856
10.750845,10.583054
8.993882,8.314047
8.766475,8.998523
10.602104,10.024502
11.421165,11.224491
10.802172,10.241866
12.921273,12.913025
13.414221,13.316412
13.653732,13.75832
8.705414,9.053129
9.114534,9.018041
13.068011,13.078353
11.203757,11.0268545
10.912051,10.631255
9.150649,9.550387
8.922489,9.229605
13.982343,13.883393
13.442309,13.494251
13.613728,13.653502
13.793572,13.749543
10.8891735,10.480447
12.348022,12.3430395
13.146518,13.21478
13.340822,13.312543
9.850225,9.421114
13.849858,13.887223
12.850982,12.96658
8.589898,8.903135
13.298281,13.188797
13.118909,12.996025
13.127459,13.062678
10.418003,10.0142765
13.411187,13.219332
11.482023,11.231549
9.532575,10.051032
12.584553,12.620356
9.908053,9.372799
10.423878,9.916009
11.647091,11.516615
10.714079,11.303449
7.653349,7.87334
11.203315,11.037462
9.963324,9.194501
13.766474,13.790436
9.656178,9.980258
9.850337,9.30368
9.472806,9.825738
9.23786,9.352541
11.215305,10.799569
12.165583,12.102069
12.842576,12.700534
11.493569,11.797362
9.9668455,9.371878
11.645629,11.7382965
12.596539,12.541035
12.655057,12.689867
12.209941,12.142981
11.550099,10.989211
12.5558195,12.506743
9.907634,9.767361
13.246413,13.51537
9.216524,10.010122
10.035868,10.243096
9.937663,10.498644
12.308347,12.373516
9.228878,9.64903
12.283162,12.23445
13.643153,13.583496
13.148474,13.189829
13.767063,13.799988
12.716511,12.621819
10.652843,10.4211235
9.603265,9.82663
11.049842,11.331006
11.430069,11.431593
11.752978,11.794627
9.62532,9.325643
12.761202,12.786879
10.400125,9.903826
11.607074,11.379656
12.634005,12.649335
9.029775,8.269175
12.212595,11.931027
8.702551,8.982836
10.310533,9.895429
9.471514,9.291669
9.1734915,9.464759
9.064219,8.940297
13.771212,13.741461
13.56074,13.432558
12.019475,12.0745735
11.311253,11.131797
10.5009365,10.480842
11.518093,11.706781
9.287628,8.941367
9.462646,9.94743
12.482417,12.455151
13.86268,13.833711
13.348975,13.323199
9.168677,9.653981
9.091101,9.541532
10.083923,9.65236
14.034683,13.980674
12.614666,12.553508
